feature1,feature2
2.2483570765056164,1.930867849414408
2.3238442690503462,2.761514928204013
1.882923312638332,1.8829315215254097
2.789606407753696,2.3837173645764542
1.765262807032524,2.2712800217929825
1.7682911535937689,1.7671351232148715
2.1209811357830173,1.043359877671101
1.1375410837434836,1.7188562353795136
1.4935844398327882,2.157123666297637
1.5459879622393946,1.293848149332354
2.732824384460777,1.887111849756732
2.033764102343962,1.2876259068932716
1.727808637737409,2.055461294854933
1.4245032112888487,2.187849009172836
1.6996806550405976,1.8541531251033616
1.6991466938853017,2.926139092254469
1.993251387631033,1.4711445355220498
2.4112724560515946,1.3895781750144889
2.104431797502378,1.020164938060112
1.3359069755507846,2.0984306179345618
2.3692332899977053,2.085684140594985
1.94217585880588,1.849448152205356
1.2607390048162863,1.6400778958026456
1.7696806145201065,2.5285611131094576
2.1718091447842305,1.118479922318633
2.1620419846973977,1.8074588597918415
1.6615389998470207,2.305838144420434
2.5154997612479755,2.4656400595580994
1.580391238388681,1.845393812074393
2.165631715701782,2.48777256356118
1.760412881077355,1.9071705116680917
1.446832512996986,1.4018966879596646
2.406262911197099,2.678120014285412
1.963994939209833,2.501766448946012
2.180818012523817,1.6774401226974378
2.180697802754207,2.7690182832329846
1.9820869804450243,2.782321827907003
0.6901274479551278,2.410951252187612
2.043523534119086,1.8504963247670665
2.045880388267751,1.0062155426995536
1.890164056081244,2.178556285755873
2.738947022370758,1.7408648908631763
1.595753198553406,1.7491214782077318
2.457701058851037,2.1643755548298422
1.7351198981164806,2.256633716556678
2.04853877467402,2.4843224952664444
1.6489734530613238,1.836168926701116
1.8039459234339208,1.2682425259339407
2.148060138532288,2.130527636089945
2.0025567283212307,1.8827064333124264
1.2923146289747929,1.7896773386173206
1.8286427417366156,1.5988613653891903
1.9193571441669957,2.202025428407269
2.943092950605265,2.08728890641592
2.1287751953613823,1.9627770421169164
1.0406143923504794,1.986743062275392
2.030115104970513,3.231621056242643
1.9038195176094388,2.150773671166806
1.9826441151473784,1.415660981190234
2.5714114072575103,2.375966516343387
2.3955159735215235,1.5453062726026303
2.7013971554680496,1.2990744686038596
2.293428546900135,3.095227812904989
1.504731837434656,1.716851135198614
2.049825682543821,1.7482621729419003
1.2246682844669337,2.034281487403013
1.4688481431369476,2.236796215317591
1.5402878828830984,2.77496720250877
1.6083733538318814,1.8389692418971624
2.406758608684835,1.3845678417830225
2.113729967302065,2.653571377141214
1.1962583827193862,2.0923169292661523
2.129941397124212,2.390911435888655
1.381524644560959,1.3397716934578618
2.2609707828084487,2.148492336616593
2.1252464251729384,2.173224104748488
1.6599876392107549,2.116126848580502
2.146536236649341,1.642824290986816
2.9328872555723784,2.2369164604558938
1.4043482513986758,2.328276804316915
1.5126591648863392,2.393542301871226
2.579297789503702,1.5896588408241448
2.481688064622161,2.206390463468249
2.411030079997245,2.9483964913269736
1.8773059419985647,1.623131917821255
1.5552427851872384,1.5920948575172809
1.961449145292948,2.170575987408322
2.1383453996650097,2.413591624518012
2.0065009459389533,2.726767038578658
1.867671583381022,3.3600845832948094
2.312833673882503,1.5714212217918586
1.464553750969444,2.2412362076215926
1.8882686073370745,2.357000247046046
2.2366188122867725,1.963585543671564
1.5766031409657977,1.2425763876570677
1.7767425239664894,2.428199397161736
2.107046872065102,1.377130610644006
2.086590462925591,2.1926586898644183
1.5580712818994336,2.076862552972764
2.029104359223,1.4285148510846883
2.178893680174141,2.280392263184117
2.5415256215876383,2.526901026017452
1.3111653160214545,1.5310874800424386
2.25751763360433,2.2568929754561045
2.257523843153024,3.92636574532736
2.285445255346584,2.5677828200902995
2.4770008817466014,2.325695625652899
1.8423653776798272,2.379484610246634
1.613587392731214,1.881590696629996
1.7573182260854483,2.040937069693161
3.1573292833367543,1.066367403704126
2.3431300951872567,1.1936420644051742
1.7640340671052832,2.544475298483683
2.032140009547732,1.461127611035347
1.642348145370016,2.3397988744673377
1.6348166841414318,2.1082292947909878
2.022785919951907,1.6741998261970914
3.0719720446626626,2.3169595111590056
0.9874287066711964,2.093227157384714
1.669106767615806,2.426216667398112
1.6037396307836498,1.9426317792665504
2.2524936394902286,2.432877597085061
1.3998517964721118,1.8327493820795255
1.762527344419522,1.6733353837131442
2.882727120140548,2.2024908554804776
1.3695580228324773,2.458930973527388
3.0610780985063166,2.516232630275573
1.2403150170229933,1.7578829635668742
2.6334555745933117,1.6461652671906095
2.221909714073114,2.387317026714668
1.5365347642109586,1.9702373219691
0.3793663299654637,1.4878061793328552
1.87371592430342,1.3761084090175753
2.8162056519658174,1.2849293110196838
1.779977756651508,2.0653702886430456
2.720636644533058,1.2820689244102803
2.58158187607748,2.005116530509793
1.5092456744760243,2.231051737131635
2.099529847786735,1.6998915614206027
2.0349010424950094,1.80734320156912
2.056758672625624,2.3310653372605232
2.793008408072676,1.3810922505865757
3.066516687328133,1.023956100238749
1.9241074524822084,2.2941586032422885
2.140495933867516,1.6886502400897032
1.8959388748213624,1.7534995326705836
1.7053176215278942,2.4248010485105125
2.178507742982524,1.6535452023696728
2.4497999377166253,2.1536497604383045
2.40643105941948,2.314814420961806
1.585502494538964,1.719909479901515
2.373646802561631,2.3051851327167325
1.989549203017926,2.058663691654391
2.638832447894212,1.704214305582085
2.273548690585019,1.898903673783053
1.89115939838639,2.549388425993595
2.412708174494015,2.4067548180003198
2.6527394035771645,2.01050192081638
2.3409764856474817,1.844866621703272
2.162083176244221,1.9349284728161575
2.048497982496359,2.2975785127184567
1.5908896583832637,3.0461936378427303
1.496991309250149,1.392905693606134
2.579055436750034,2.395831346981468
2.3120599085260776,2.31417275463214
