feature1,feature2,cluster
2.2483570765056164,1.930867849414408,0
2.3238442690503462,2.761514928204013,0
1.882923312638332,1.8829315215254097,0
2.789606407753696,2.3837173645764542,0
1.765262807032524,2.2712800217929825,0
1.7682911535937689,1.7671351232148715,0
2.1209811357830173,1.043359877671101,0
1.1375410837434836,1.7188562353795136,0
1.4935844398327882,2.157123666297637,0
1.5459879622393946,1.293848149332354,0
2.732824384460777,1.887111849756732,0
2.033764102343962,1.2876259068932716,0
1.727808637737409,2.055461294854933,0
1.4245032112888487,2.187849009172836,0
1.6996806550405976,1.8541531251033616,0
1.6991466938853017,2.926139092254469,0
1.993251387631033,1.4711445355220498,0
2.4112724560515946,1.3895781750144889,0
2.104431797502378,1.020164938060112,0
1.3359069755507846,2.0984306179345618,0
2.3692332899977053,2.085684140594985,0
1.94217585880588,1.849448152205356,0
1.2607390048162863,1.6400778958026456,0
1.7696806145201065,2.5285611131094576,0
2.1718091447842305,1.118479922318633,0
2.1620419846973977,1.8074588597918413,0
1.6615389998470207,2.305838144420434,0
2.5154997612479755,2.4656400595580994,0
1.580391238388681,1.845393812074393,0
2.165631715701782,2.48777256356118,0
1.760412881077355,1.907170511668092,0
1.446832512996986,1.4018966879596646,0
2.406262911197099,2.678120014285412,0
1.963994939209833,2.501766448946012,0
2.180818012523817,1.6774401226974378,0
2.180697802754207,2.7690182832329846,0
1.9820869804450243,2.782321827907003,0
0.6901274479551278,2.410951252187612,0
2.043523534119086,1.8504963247670665,0
2.045880388267751,1.0062155426995536,0
1.890164056081244,2.178556285755873,0
2.738947022370758,1.7408648908631763,0
1.595753198553406,1.7491214782077318,0
2.457701058851037,2.1643755548298422,0
1.7351198981164806,2.256633716556678,0
2.04853877467402,2.4843224952664444,0
1.6489734530613238,1.836168926701116,0
1.8039459234339208,1.2682425259339407,0
2.148060138532288,2.130527636089945,0
2.0025567283212307,1.8827064333124264,0
1.2923146289747929,1.7896773386173206,0
1.828642741736616,1.5988613653891903,0
1.919357144166996,2.202025428407269,0
2.943092950605265,2.08728890641592,0
2.1287751953613823,1.9627770421169164,0
1.0406143923504794,1.986743062275392,0
2.030115104970513,3.231621056242643,0
1.9038195176094388,2.150773671166806,0
1.9826441151473784,1.415660981190234,0
2.5714114072575103,2.375966516343387,0
2.3955159735215235,1.5453062726026303,0
2.7013971554680496,1.2990744686038596,0
2.293428546900135,3.095227812904989,0
1.504731837434656,1.716851135198614,0
2.049825682543821,1.7482621729419003,0
1.2246682844669337,2.034281487403013,0
1.4688481431369476,2.236796215317591,0
1.5402878828830984,2.77496720250877,0
1.6083733538318814,1.8389692418971624,0
2.406758608684835,1.3845678417830225,0
2.113729967302065,2.653571377141214,0
1.1962583827193862,2.0923169292661523,0
2.129941397124212,2.390911435888655,0
1.381524644560959,1.3397716934578618,0
2.2609707828084487,2.148492336616593,0
2.1252464251729384,2.173224104748488,0
1.6599876392107549,2.116126848580502,0
2.146536236649341,1.642824290986816,0
2.9328872555723784,2.2369164604558938,0
1.4043482513986758,2.328276804316915,0
